ParkName,Region,Year,Month,RecreationVisits
Acadia,Northeast ,1979,1,6011
Acadia,Northeast ,1979,2,5243
Acadia,Northeast ,1979,3,11165
Acadia,Northeast ,1979,4,219351
Acadia,Northeast ,1979,5,339416
Acadia,Northeast ,1979,6,543205
Acadia,Northeast ,1979,7,383341
Acadia,Northeast ,1979,8,466928
Acadia,Northeast ,1979,9,320138
Acadia,Northeast ,1979,10,300976
Acadia,Northeast ,1979,11,183750
Acadia,Northeast ,1979,12,7842
Acadia,Northeast ,1980,1,8966
Acadia,Northeast ,1980,2,8225
Acadia,Northeast ,1980,3,7505
Acadia,Northeast ,1980,4,182879
Acadia,Northeast ,1980,5,209301
Acadia,Northeast ,1980,6,359552
Acadia,Northeast ,1980,7,533885
Acadia,Northeast ,1980,8,633067
Acadia,Northeast ,1980,9,282636
Acadia,Northeast ,1980,10,332937
Acadia,Northeast ,1980,11,200461
Acadia,Northeast ,1980,12,20252
Acadia,Northeast ,1981,1,23330
Acadia,Northeast ,1981,2,16207
Acadia,Northeast ,1981,3,21923
Acadia,Northeast ,1981,4,188071
Acadia,Northeast ,1981,5,212500
Acadia,Northeast ,1981,6,366518
Acadia,Northeast ,1981,7,545981
Acadia,Northeast ,1981,8,616233
Acadia,Northeast ,1981,9,463823
Acadia,Northeast ,1981,10,313788
Acadia,Northeast ,1981,11,203741
Acadia,Northeast ,1981,12,25857
Acadia,Northeast ,1982,1,21425
Acadia,Northeast ,1982,2,22210
Acadia,Northeast ,1982,3,36866
Acadia,Northeast ,1982,4,193208
Acadia,Northeast ,1982,5,261452
Acadia,Northeast ,1982,6,404915
Acadia,Northeast ,1982,7,737860
Acadia,Northeast ,1982,8,574164
Acadia,Northeast ,1982,9,541721
Acadia,Northeast ,1982,10,446170
Acadia,Northeast ,1982,11,303753
Acadia,Northeast ,1982,12,28370
Acadia,Northeast ,1983,1,23771
Acadia,Northeast ,1983,2,24667
Acadia,Northeast ,1983,3,25576
Acadia,Northeast ,1983,4,207347
Acadia,Northeast ,1983,5,287861
Acadia,Northeast ,1983,6,435142
Acadia,Northeast ,1983,7,916474
Acadia,Northeast ,1983,8,715624
Acadia,Northeast ,1983,9,668981
Acadia,Northeast ,1983,10,529524
Acadia,Northeast ,1983,11,262444
Acadia,Northeast ,1983,12,27228
Acadia,Northeast ,1984,1,24273
Acadia,Northeast ,1984,2,26185
Acadia,Northeast ,1984,3,37289
Acadia,Northeast ,1984,4,229638
Acadia,Northeast ,1984,5,271964
Acadia,Northeast ,1984,6,458908
Acadia,Northeast ,1984,7,790392
Acadia,Northeast ,1984,8,865843
Acadia,Northeast ,1984,9,443622
Acadia,Northeast ,1984,10,361873
Acadia,Northeast ,1984,11,194735
Acadia,Northeast ,1984,12,30041
Acadia,Northeast ,1985,1,31360
Acadia,Northeast ,1985,2,23261
Acadia,Northeast ,1985,3,46315
Acadia,Northeast ,1985,4,261410
Acadia,Northeast ,1985,5,341775
Acadia,Northeast ,1985,6,432926
Acadia,Northeast ,1985,7,725951
Acadia,Northeast ,1985,8,816294
Acadia,Northeast ,1985,9,451026
Acadia,Northeast ,1985,10,373037
Acadia,Northeast ,1985,11,206970
Acadia,Northeast ,1985,12,35245
Acadia,Northeast ,1986,1,28369
Acadia,Northeast ,1986,2,33055
Acadia,Northeast ,1986,3,47390
Acadia,Northeast ,1986,4,257926
Acadia,Northeast ,1986,5,411604
Acadia,Northeast ,1986,6,486835
Acadia,Northeast ,1986,7,717864
Acadia,Northeast ,1986,8,809273
Acadia,Northeast ,1986,9,488247
Acadia,Northeast ,1986,10,407396
Acadia,Northeast ,1986,11,204770
Acadia,Northeast ,1986,12,36325
Acadia,Northeast ,1987,1,35579
Acadia,Northeast ,1987,2,35766
Acadia,Northeast ,1987,3,56924
Acadia,Northeast ,1987,4,292358
Acadia,Northeast ,1987,5,444265
Acadia,Northeast ,1987,6,523486
Acadia,Northeast ,1987,7,751309
Acadia,Northeast ,1987,8,786970
Acadia,Northeast ,1987,9,562309
Acadia,Northeast ,1987,10,444810
Acadia,Northeast ,1987,11,299699
Acadia,Northeast ,1987,12,54679
Acadia,Northeast ,1988,1,43462
Acadia,Northeast ,1988,2,30060
Acadia,Northeast ,1988,3,54253
Acadia,Northeast ,1988,4,223653
Acadia,Northeast ,1988,5,448299
Acadia,Northeast ,1988,6,582015
Acadia,Northeast ,1988,7,799802
Acadia,Northeast ,1988,8,909762
Acadia,Northeast ,1988,9,601530
Acadia,Northeast ,1988,10,455637
Acadia,Northeast ,1988,11,303503
Acadia,Northeast ,1988,12,50307
Acadia,Northeast ,1989,1,41114
Acadia,Northeast ,1989,2,42012
Acadia,Northeast ,1989,3,74773
Acadia,Northeast ,1989,4,324714
Acadia,Northeast ,1989,5,579272
Acadia,Northeast ,1989,6,704488
Acadia,Northeast ,1989,7,999535
Acadia,Northeast ,1989,8,1045060
Acadia,Northeast ,1989,9,666669
Acadia,Northeast ,1989,10,610334
Acadia,Northeast ,1989,11,302857
Acadia,Northeast ,1989,12,50124
Acadia,Northeast ,1990,1,16084
Acadia,Northeast ,1990,2,13383
Acadia,Northeast ,1990,3,30060
Acadia,Northeast ,1990,4,17898
Acadia,Northeast ,1990,5,148090
Acadia,Northeast ,1990,6,290533
Acadia,Northeast ,1990,7,554953
Acadia,Northeast ,1990,8,645522
Acadia,Northeast ,1990,9,355864
Acadia,Northeast ,1990,10,207770
Acadia,Northeast ,1990,11,47633
Acadia,Northeast ,1990,12,11801
Acadia,Northeast ,1991,1,24588
Acadia,Northeast ,1991,2,14667
