ParkName,Region,Year,RecreationVisits
Acadia,Northeast ,1979,2787366
Acadia,Northeast ,1980,2779666
Acadia,Northeast ,1981,2997972
Acadia,Northeast ,1982,3572114
Acadia,Northeast ,1983,4124639
Acadia,Northeast ,1984,3734763
Acadia,Northeast ,1985,3745570
Acadia,Northeast ,1986,3929054
Acadia,Northeast ,1987,4288154
Acadia,Northeast ,1988,4502283
Acadia,Northeast ,1989,5440952
Acadia,Northeast ,1990,2339591
Acadia,Northeast ,1991,2475857
Acadia,Northeast ,1992,2382113
Acadia,Northeast ,1993,2656034
Acadia,Northeast ,1994,2710749
Acadia,Northeast ,1995,2845378
Acadia,Northeast ,1996,2704831
Acadia,Northeast ,1997,2760306
Acadia,Northeast ,1998,2594497
Acadia,Northeast ,1999,2602227
Acadia,Northeast ,2000,2469238
Acadia,Northeast ,2001,2516551
Acadia,Northeast ,2002,2558572
Acadia,Northeast ,2003,2431062
Acadia,Northeast ,2004,2207847
Acadia,Northeast ,2005,2051484
Acadia,Northeast ,2006,2083588
Acadia,Northeast ,2007,2202228
Acadia,Northeast ,2008,2075857
Acadia,Northeast ,2009,2227698
Acadia,Northeast ,2010,2504208
Acadia,Northeast ,2011,2374645
Acadia,Northeast ,2012,2431052
Acadia,Northeast ,2013,2254922
Acadia,Northeast ,2014,2563129
Acadia,Northeast ,2015,2811184
Acadia,Northeast ,2016,3303393
Acadia,Northeast ,2017,3509271
Acadia,Northeast ,2018,3537575
Acadia,Northeast ,2019,3437286
Acadia,Northeast ,2020,2669034
Acadia,Northeast ,2021,4069098
Acadia,Northeast ,2022,3970260
Arches,Intermountain ,1979,269840
Arches,Intermountain ,1980,290519
Arches,Intermountain ,1981,326508
Arches,Intermountain ,1982,339415
Arches,Intermountain ,1983,287875
Arches,Intermountain ,1984,345180
Arches,Intermountain ,1985,363464
Arches,Intermountain ,1986,419444
Arches,Intermountain ,1987,468916
Arches,Intermountain ,1988,520455
Arches,Intermountain ,1989,555809
Arches,Intermountain ,1990,620719
Arches,Intermountain ,1991,705882
Arches,Intermountain ,1992,799831
Arches,Intermountain ,1993,773678
Arches,Intermountain ,1994,777178
Arches,Intermountain ,1995,859374
Arches,Intermountain ,1996,856016
Arches,Intermountain ,1997,858525
Arches,Intermountain ,1998,837161
Arches,Intermountain ,1999,869980
Arches,Intermountain ,2000,786429
Arches,Intermountain ,2001,754026
Arches,Intermountain ,2002,769672
Arches,Intermountain ,2003,757781
Arches,Intermountain ,2004,733131
Arches,Intermountain ,2005,781670
Arches,Intermountain ,2006,833049
Arches,Intermountain ,2007,860181
Arches,Intermountain ,2008,928795
Arches,Intermountain ,2009,996312
Arches,Intermountain ,2010,1014405
Arches,Intermountain ,2011,1040758
Arches,Intermountain ,2012,1070577
Arches,Intermountain ,2013,1082866
Arches,Intermountain ,2014,1284767
Arches,Intermountain ,2015,1399247
Arches,Intermountain ,2016,1585718
Arches,Intermountain ,2017,1539028
Arches,Intermountain ,2018,1663557
Arches,Intermountain ,2019,1659702
Arches,Intermountain ,2020,1238083
Arches,Intermountain ,2021,1806865
Arches,Intermountain ,2022,1460652
Badlands,Midwest ,1979,858000
Badlands,Midwest ,1980,952652
Badlands,Midwest ,1981,1175952
Badlands,Midwest ,1982,1030484
Badlands,Midwest ,1983,1026981
Badlands,Midwest ,1984,1113675
Badlands,Midwest ,1985,950242
Badlands,Midwest ,1986,1025630
Badlands,Midwest ,1987,1174398
Badlands,Midwest ,1988,1110040
Badlands,Midwest ,1989,1237956
Badlands,Midwest ,1990,1326475
Badlands,Midwest ,1991,1518396
Badlands,Midwest ,1992,1205297
Badlands,Midwest ,1993,1179458
Badlands,Midwest ,1994,1130459
Badlands,Midwest ,1995,1075569
Badlands,Midwest ,1996,1024705
Badlands,Midwest ,1997,970696
Badlands,Midwest ,1998,1021049
Badlands,Midwest ,1999,950453
Badlands,Midwest ,2000,1105824
Badlands,Midwest ,2001,955469
Badlands,Midwest ,2002,908898
Badlands,Midwest ,2003,871034
Badlands,Midwest ,2004,936030
Badlands,Midwest ,2005,909146
Badlands,Midwest ,2006,840118
Badlands,Midwest ,2007,886654
Badlands,Midwest ,2008,845734
Badlands,Midwest ,2009,933918
Badlands,Midwest ,2010,977778
Badlands,Midwest ,2011,870741
Badlands,Midwest ,2012,883406
Badlands,Midwest ,2013,892372
Badlands,Midwest ,2014,868094
Badlands,Midwest ,2015,989354
Badlands,Midwest ,2016,996263
Badlands,Midwest ,2017,1054325
Badlands,Midwest ,2018,1008942
Badlands,Midwest ,2019,970998
Badlands,Midwest ,2020,916932
Badlands,Midwest ,2021,1224226
Badlands,Midwest ,2022,1006809
Big Bend,Intermountain ,1979,282941
Big Bend,Intermountain ,1980,174008
Big Bend,Intermountain ,1981,167332
Big Bend,Intermountain ,1982,180144
Big Bend,Intermountain ,1983,164926
Big Bend,Intermountain ,1984,167665
Big Bend,Intermountain ,1985,188045
Big Bend,Intermountain ,1986,200622
Big Bend,Intermountain ,1987,227921
Big Bend,Intermountain ,1988,239595
Big Bend,Intermountain ,1989,281728
Big Bend,Intermountain ,1990,257378
Big Bend,Intermountain ,1991,296470
Big Bend,Intermountain ,1992,294535
Big Bend,Intermountain ,1993,327907
Big Bend,Intermountain ,1994,330417
Big Bend,Intermountain ,1995,295460
Big Bend,Intermountain ,1996,279454
Big Bend,Intermountain ,1997,305882
Big Bend,Intermountain ,1998,338442
Big Bend,Intermountain ,1999,327649
Big Bend,Intermountain ,2000,262320
Big Bend,Intermountain ,2001,328927
Big Bend,Intermountain ,2002,327747
Big Bend,Intermountain ,2003,312384
Big Bend,Intermountain ,2004,357723
Big Bend,Intermountain ,2005,398583
Big Bend,Intermountain ,2006,298717
Big Bend,Intermountain ,2007,364856
Big Bend,Intermountain ,2008,362512
Big Bend,Intermountain ,2009,363905
Big Bend,Intermountain ,2010,372330
Big Bend,Intermountain ,2011,361862
Big Bend,Intermountain ,2012,292055
Big Bend,Intermountain ,2013,316953
Big Bend,Intermountain ,2014,314102
Big Bend,Intermountain ,2015,381747
Big Bend,Intermountain ,2016,388290
Big Bend,Intermountain ,2017,440276
Big Bend,Intermountain ,2018,440091
Big Bend,Intermountain ,2019,463832
Big Bend,Intermountain ,2020,393907
Big Bend,Intermountain ,2021,581220
Big Bend,Intermountain ,2022,514107
Biscayne,Southeast ,1979,202938
Biscayne,Southeast ,1980,248071
Biscayne,Southeast ,1981,305502
Biscayne,Southeast ,1982,348219
Biscayne,Southeast ,1983,369082
Biscayne,Southeast ,1984,340567
Biscayne,Southeast ,1985,460921
Biscayne,Southeast ,1986,578013
Biscayne,Southeast ,1987,607968
Biscayne,Southeast ,1988,531036
Biscayne,Southeast ,1989,589957
Biscayne,Southeast ,1990,573376
Biscayne,Southeast ,1991,488134
Biscayne,Southeast ,1992,307512
Biscayne,Southeast ,1993,19950
Biscayne,Southeast ,1994,25147
Biscayne,Southeast ,1995,584519
Biscayne,Southeast ,1996,338603
Biscayne,Southeast ,1997,392069
Biscayne,Southeast ,1998,403239
Biscayne,Southeast ,1999,442585
Biscayne,Southeast ,2000,393151
Biscayne,Southeast ,2001,489343
Biscayne,Southeast ,2002,513397
Biscayne,Southeast ,2003,490031
Biscayne,Southeast ,2004,478304
Biscayne,Southeast ,2005,563728
Biscayne,Southeast ,2006,608836
Biscayne,Southeast ,2007,517442
Biscayne,Southeast ,2008,686062
Biscayne,Southeast ,2009,437745
Biscayne,Southeast ,2010,467612
Biscayne,Southeast ,2011,476077
Biscayne,Southeast ,2012,495613
Biscayne,Southeast ,2013,486848
Biscayne,Southeast ,2014,525745
Biscayne,Southeast ,2015,508164
Biscayne,Southeast ,2016,514709
Biscayne,Southeast ,2017,446961
Biscayne,Southeast ,2018,469253
Biscayne,Southeast ,2019,708522
Biscayne,Southeast ,2020,402770
Biscayne,Southeast ,2021,705655
Biscayne,Southeast ,2022,701023
Black Canyon of the Gunnison,Intermountain ,1979,234286
Black Canyon of the Gunnison,Intermountain ,1980,336119
Black Canyon of the Gunnison,Intermountain ,1981,266604
Black Canyon of the Gunnison,Intermountain ,1982,227428
Black Canyon of the Gunnison,Intermountain ,1983,291618
Black Canyon of the Gunnison,Intermountain ,1984,253048
Black Canyon of the Gunnison,Intermountain ,1985,266012
Black Canyon of the Gunnison,Intermountain ,1986,289117
Black Canyon of the Gunnison,Intermountain ,1987,285439
Black Canyon of the Gunnison,Intermountain ,1988,269073
Black Canyon of the Gunnison,Intermountain ,1989,288586
Black Canyon of the Gunnison,Intermountain ,1990,275323
Black Canyon of the Gunnison,Intermountain ,1991,316336
Black Canyon of the Gunnison,Intermountain ,1992,337209
Black Canyon of the Gunnison,Intermountain ,1993,319322
Black Canyon of the Gunnison,Intermountain ,1994,214194
Black Canyon of the Gunnison,Intermountain ,1995,221113
Black Canyon of the Gunnison,Intermountain ,1996,200125
Black Canyon of the Gunnison,Intermountain ,1997,209863
Black Canyon of the Gunnison,Intermountain ,1998,193451
Black Canyon of the Gunnison,Intermountain ,1999,200142
Black Canyon of the Gunnison,Intermountain ,2000,191506
Black Canyon of the Gunnison,Intermountain ,2001,181018
Black Canyon of the Gunnison,Intermountain ,2002,173687
Black Canyon of the Gunnison,Intermountain ,2003,167247
Black Canyon of the Gunnison,Intermountain ,2004,175581
Black Canyon of the Gunnison,Intermountain ,2005,180814
Black Canyon of the Gunnison,Intermountain ,2006,160450
Black Canyon of the Gunnison,Intermountain ,2007,219576
Black Canyon of the Gunnison,Intermountain ,2008,160185
Black Canyon of the Gunnison,Intermountain ,2009,171451
Black Canyon of the Gunnison,Intermountain ,2010,176344
Black Canyon of the Gunnison,Intermountain ,2011,168336
Black Canyon of the Gunnison,Intermountain ,2012,192570
